	Antibiotics-MS357wF	AntibioticsCu-MS357wF	AntibioticsCuJuJu-MS357wF	AntibioticsJuJu-MS357wF	Control-MS357wF	Cu-MS357wF	CuJuJu-MS357wF	JuJu-MS357wF
Bacteria ; Firmicutes ; Bacilli ; Lactobacillales ; Carnobacteriaceae ; Desemzia	0	13	0	0	0	0	0	0
Bacteria ; Firmicutes ; Bacilli ; Lactobacillales ; Lactobacillaceae ; Lactobacillus	0	0	0	0	6	0	0	0
Bacteria ; Firmicutes ; Bacilli ; Lactobacillales ; Streptococcaceae ; Lactococcus	0	5	0	5	0	0	0	0
Bacteria ; Firmicutes ; Bacilli ; Lactobacillales ; Streptococcaceae ; Streptococcus	8	55	0	25	1	0	0	0
Bacteria ; Firmicutes ; Tissierellia ; Tissierellales ; Peptoniphilaceae ; Finegoldia	3	0	0	3	0	0	0	0
Bacteria ; Firmicutes ; Unknown ; Unknown ; Unknown ; Unknown	0	4	0	0	0	0	0	0
Bacteria ; Nitrospirae ; Nitrospira ; Nitrospirales ; Nitrospiraceae ; Unknown	0	0	0	3	0	0	0	0
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Caulobacterales ; Caulobacteraceae ; Brevundimonas	2	0	0	0	121	5	28	21
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Rhizobiales ; Bradyrhizobiaceae ; Bosea	57	0	0	0	5	0	0	0
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Rhizobiales ; Bradyrhizobiaceae ; Rhodopseudomonas	0	13	0	0	3	0	0	0
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Rhizobiales ; Hyphomicrobiaceae ; Devosia	0	0	0	0	76	0	0	0
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Rhizobiales ; Methylobacteriaceae ; Methylobacterium	13	8	16	0	21	18	40	2
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Rhizobiales ; Phyllobacteriaceae ; Mesorhizobium	218	0	0	0	0	0	0	0
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Rhizobiales ; Rhizobiaceae ; Rhizobium	11	0	0	0	290	0	2	4
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Rhizobiales ; Unclassified ; Unclassified	0	0	0	7	0	0	0	0
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Rhodobacterales ; Rhodobacteraceae ; Paracoccus	0	7	3	0	14	0	0	0
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Rhodobacterales ; Rhodobacteraceae ; Unknown	0	0	0	0	4	39	0	0
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Rhodospirillales ; Acetobacteraceae ; Acetobacter	5	0	0	0	0	0	0	0
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Rhodospirillales ; Acetobacteraceae ; Roseomonas	0	0	0	0	0	0	2	0
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Sphingomonadales ; Sphingomonadaceae ; Sphingomonas	75	9	0	0	111	15	2	3
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Sphingomonadales ; Sphingomonadaceae ; Sphingopyxis	4	0	0	0	31	0	0	3
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Sphingomonadales ; Unknown ; Unknown	0	14	0	0	60	0	0	0
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Unknown ; Unknown ; Unknown	6	0	0	0	12	0	1	0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Comamonadaceae ; Acidovorax	2	0	0	0	58	3	3	42
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Comamonadaceae ; Delftia	4700	2278	6936	4234	46	1	5	4
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Comamonadaceae ; Limnohabitans	2711	0	3	0	2948	7091	11530	8583
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Comamonadaceae ; Pelomonas	0	0	0	0	3	0	3	6
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Comamonadaceae ; Unknown	2	11	7	1	0	2	1	1
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Comamonadaceae ; Variovorax	0	0	0	0	27	1	0	3
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Oxalobacteraceae ; Janthinobacterium	0	0	0	0	116	39	59	91
Bacteria ; Proteobacteria ; Betaproteobacteria ; Unknown ; Unknown ; Unknown	1	0	0	0	19	43	0	1
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Enterobacteriales ; Enterobacteriaceae ; Pantoea	0	0	0	2	0	0	0	0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Enterobacteriales ; Enterobacteriaceae ; Rahnella	16	0	0	0	0	0	2	0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Legionellales ; Coxiellaceae ; Rickettsiella	0	3	0	0	0	0	0	0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Pseudomonadales ; Moraxellaceae ; Acinetobacter	65	23	2	0	13	3	6	18
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Pseudomonadales ; Moraxellaceae ; Psychrobacter	0	0	0	0	250	0	0	0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Pseudomonadales ; Pseudomonadaceae ; Pseudomonas	12	84	5	60	93	0	2	0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Unknown ; Unknown ; Unknown	0	3	0	0	0	0	0	0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Xanthomonadales ; Xanthomonadaceae ; Pseudoxanthomonas	0	0	0	0	3	0	0	0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Xanthomonadales ; Xanthomonadaceae ; Stenotrophomonas	1349	7	613	285	0	0	0	0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Xanthomonadales ; Xanthomonadaceae ; Thermomonas	0	0	0	7	0	0	0	0
Bacteria ; Synergistetes ; Synergistia ; Synergistales ; Synergistaceae ; Fretibacterium	0	15	0	0	0	0	0	0
Bacteria ; Unclassified ; Unclassified ; Unclassified ; Unclassified ; Unclassified	8	0	7	0	5	0	0	0
Bacteria ; Unknown ; Unknown ; Unknown ; Unknown ; Unknown	0	113	0	26	147	4	0	0
Bacteria ; Verrucomicrobia ; Unclassified ; Unclassified ; Unclassified ; Unclassified	0	6	0	0	0	0	0	0
Bacteria ; Verrucomicrobia ; Verrucomicrobiae ; Verrucomicrobiales ; Unknown ; Unknown	0	0	0	0	7	0	0	0
Bacteria ; Verrucomicrobia ; Verrucomicrobiae ; Verrucomicrobiales ; Verrucomicrobiaceae ; Luteolibacter	0	0	0	0	101	0	0	0
No Hit ; No Hit ; No Hit ; No Hit ; No Hit ; No Hit	16	0	0	4	120	4	3	193
